event_url,round,Rank,Lane,Athlete,Nation,Result,Notes
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 1,1,2,Ebrahima Camara,The Gambia,10.29,Q
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 1,2,3,Muhd Azeem Fahmi,Malaysia,10.42,Q
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 1,3,4,Marc Brian Louis,Singapore,10.43,q
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 1,4,5,Sha Mahmood Noor Zahi,Afghanistan,10.64,NR
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 1,5,6,Seco Camara,Guinea-Bissau,10.76,
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 1,6,7,William Reed,Marshall Islands,11.29,PB
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 1,7,8,Karalo Maibuca,Tuvalu,11.30,NR
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 2,1,2,Davonte Howell,Cayman Islands,10.31,Q
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 2,2,4,Sibusiso Matsenjwa,Eswatini,10.39,Q
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 2,3,6,Didier Kiki,Benin,10.76 (.755),
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 2,4,5,Hervé Toumandji,Central African Republic,10.76 (.760),
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 2,5,7,Kenaz Kaniwete,Kiribati,11.29,PB
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 2,6,8,Darko Pešić,Montenegro,11.85,
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 2,—,3,Steven Sabino,Mozambique,DQ,TR 16.8
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 3,1,2,Noa Bibi,Mauritius,10.27,Q
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 3,2,5,Franko Burraj,Albania,10.60 (.596),"Q,PB"
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 3,3,4,Favoris Muzrapov[it],Tajikistan,10.60 (.597),
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 3,4,3,Diu Chun Hei,Hong Kong,10.62,
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 3,5,6,Melique García,Honduras,10.76,
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 3,6,7,Rija Gardiner[de],Madagascar,10.82,PB
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 3,7,9,Manuel Ataide,Timor-Leste,11.35,NR
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 3,8,8,Samer Al-Yafaee[de],Yemen,11.54,PB
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 4,1,2,Christopher Borzor,Haiti,10.26,Q
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 4,2,4,Marcos Santos,Angola,10.31,"Q,NR"
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 4,3,3,Hachim Maaroufou,Comoros,10.44,q
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 4,4,9,Taha Hussein Yaseen,Iraq,10.51,"q,PB"
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 4,5,5,Ibadulla Adam,Maldives,10.55,PB
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 4,6,6,Shaun Gill,Belize,11.17,
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 4,7,8,Scott Fiti,Federated States of Micronesia,11.61,SB
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 4,8,7,Ahmed Essabai[de],Libya,11.89,
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 5,1,3,Naquille Harris,Saint Kitts and Nevis,10.33,Q
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 5,2,2,Lalu Muhammad Zohri,Indonesia,10.35,Q
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 5,3,4,Fodé Sissoko,Mali,10.66,
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 5,4,7,Joseph Green,Guam,10.85,SB
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 5,5,6,Winzar Kakiouea,Nauru,11.15,
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 5,6,9,Remigio Santander,Equatorial Guinea,11.65,SB
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 5,7,8,Maleselo Fukofuka,Tonga,12.11,PB
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 5,—,5,Dominique Mulamba,Democratic Republic of the Congo,10.54DQ[18],"q, SB"
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 6,1,2,Arturo Deliser,Panama,10.34,Q
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 6,2,4,Dylan Sicobo,Seychelles,10.51,Q
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 6,3,5,Wissy Hoye[de],Gabon,10.59,
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 6,4,7,Jalen Lisse[nl],Suriname,10.64,PB
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 6,5,3,Beppe Grillo[de],Malta,10.69,
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 6,6,8,Imranur Rahman,Bangladesh,10.73 (.727),SB
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 6,7,6,Waisake Tewa,Fiji,10.73 (.729),SB
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 6,8,9,Muhd Noor Firdaus Ar-Rasyid,Brunei,10.86,SB
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 1,1,5,Kishane Thompson,Jamaica,10.00,Q
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 1,2,6,Benjamin Azamati,Ghana,10.08,Q
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 1,3,1,Reynaldo Espinosa,Cuba,10.11,Q
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 1,4,2,Felipe Bardi,Brazil,10.18,
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 1,5,9,Akihiro Higashida,Japan,10.19,
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 1,6,3,Lalu Muhammad Zohri,Indonesia,10.26,
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 1,7,8,Kayhan Özer,Turkey,10.34,
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 1,8,7,Sibusiso Matsenjwa,Eswatini,10.39,
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 1,,4,Jeremiah Azu,Great Britain,DQ,TR 16.8
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 2,1,2,Ferdinand Omanyala,Kenya,10.08,Q
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 2,2,1,Chituru Ali,Italy,10.12,Q
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 2,3,7,Joshua Hartmann,Germany,10.16,Q
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 2,4,4,Joshua Azzopardi,Australia,10.20,
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 2,5,6,Devin Augustine,Trinidad and Tobago,10.31,
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 2,6,9,Erik Cardoso,Brazil,10.35 (.344),
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 2,7,3,Arturo Deliser,Panama,10.35 (.347),
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 2,8,5,Jhonny Rentería,Colombia,10.38,
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 2,9,8,Muhd Azeem Fahmi,Malaysia,10.45,
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 3,1,3,Louie Hinchliffe,Great Britain,9.98,Q
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 3,2,6,Noah Lyles,United States,10.04,Q
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 3,3,4,Shaun Maswanganyi,South Africa,10.06,Q
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 3,4,7,Xie Zhenye,China,10.16,
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 3,5,5,Owen Ansah,Germany,10.22,
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 3,6,8,Ali Anwar Al-Balushi,Oman,10.26,
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 3,7,1,Naquille Harris,Saint Kitts and Nevis,10.38,
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 3,8,2,Markus Fuchs,Austria,10.59,
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 3,9,9,Dylan Sicobo,Seychelles,10.62,
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 4,1,6,Oblique Seville,Jamaica,9.99,Q
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 4,2,4,Abdul Hakim Sani Brown,Japan,10.02,Q
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 4,3,2,Puripol Boonson,Thailand,10.13,Q
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 4,4,3,Favour Ashe,Nigeria,10.16,q
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 4,5,5,Duan Asemota,Canada,10.17,
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 4,6,7,Terrence Jones,Bahamas,10.31,
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 4,7,1,Marcos Santos,Angola,10.40,
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 4,8,8,Franko Burraj,Albania,10.66,
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 4,9,9,Oliwer Wdowik,Poland,11.53,
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 5,1,2,Kayinsola Ajayi,Nigeria,10.02,Q
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 5,2,4,Marcell Jacobs,Italy,10.05,Q
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 5,3,5,Abdul-Rasheed Saminu,Ghana,10.06 (.053),Q
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 5,4,6,Benjamin Richardson,South Africa,10.06 (.060),q
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 5,5,1,Hassan Taftian,Iran,10.18,SB
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 5,6,3,Davonte Howell,Cayman Islands,10.24 (.232),
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 5,7,9,Henrik Larsson,Sweden,10.24 (.232),
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 5,8,7,Paulo André de Oliveira,Brazil,10.46,
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 5,,8,Marc Brian Louis,Singapore,DNS,
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 6,1,5,Akani Simbine,South Africa,10.03,Q
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 6,2,3,Ackeem Blake,Jamaica,10.06,Q
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 6,3,4,Rikkoi Brathwaite,British Virgin Islands,10.13,Q
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 6,4,1,Ebrahima Camara,The Gambia,10.21,
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 6,5,2,Wanya McCoy,Bahamas,10.24,
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 6,6,8,Rohan Browning,Australia,10.29,=SB
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 6,7,9,Simon Hansen,Denmark,10.39,
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 6,8,6,Emanuel Archibald,Guyana,10.40,
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 6,9,7,Hachim Maaroufou,Comoros,10.52,
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 7,1,2,Kenny Bednarek,United States,9.97,Q
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 7,2,1,Emmanuel Eseme,Cameroon,9.98,"Q,SB"
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 7,3,5,Andre De Grasse,Canada,10.07,Q
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 7,4,4,Emmanuel Matadi,Liberia,10.08,q
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 7,5,6,Ryuichiro Sakai,Japan,10.17,
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 7,6,3,Noa Bibi,Mauritius,10.19,
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 7,7,7,Ronal Longa,Colombia,10.29,=SB
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 7,8,8,José González,Dominican Republic,10.40,
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 7,9,9,Taha Hussein Yaseen,Iraq,10.50,PB
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 8,1,5,Fred Kerley,United States,9.97,Q
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 8,2,2,Letsile Tebogo,Botswana,10.01,Q
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 8,3,4,Zharnel Hughes,Great Britain,10.03,Q
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 8,4,3,Cejhae Greene,Antigua and Barbuda,10.17,
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 8,5,1,Christopher Borzor,Haiti,10.28,
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 8,6,6,Arthur Cisse,Ivory Coast,10.31,
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 8,8,9,Dorian Keletela,Refugee Olympic Team,10.58,
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 8,—,7,Aaron Brown,Canada,DQ,TR 16.8
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 1,1,6,Oblique Seville,Jamaica,9.81,"Q,PB"
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 1,2,4,Noah Lyles,United States,9.83,Q
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 1,3,5,Louie Hinchliffe,Great Britain,9.97,
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 1,4,7,Emmanuel Eseme,Cameroon,10.00,
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 1,5,9,Shaun Maswanganyi,South Africa,10.02,SB
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 1,6,1,Favour Ashe,Nigeria,10.08,
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 1,7,8,Chituru Ali,Italy,10.14,
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 1,8,2,Rikkoi Brathwaite,British Virgin Islands,10.15,
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 1,9,3,Benjamin Azamati,Ghana,10.17,
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 2,1,5,Akani Simbine,South Africa,9.87,Q
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 2,2,4,Letsile Tebogo,Botswana,9.91,Q
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 2,3,8,Marcell Jacobs,Italy,9.92,"q,SB"
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 2,4,7,Kenny Bednarek,United States,9.93,q
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 2,5,3,Ackeem Blake,Jamaica,10.06,
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 2,6,6,Kayinsola Ajayi,Nigeria,10.13,
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 2,7,9,Joshua Hartmann,Germany,10.16,
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 2,8,2,Emmanuel Matadi,Liberia,10.18,
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 2,9,1,Reynaldo Espinosa,Cuba,10.21,
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 3,1,4,Kishane Thompson,Jamaica,9.80,Q
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 3,2,7,Fred Kerley,United States,9.84,Q
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 3,3,9,Benjamin Richardson,South Africa,9.95,
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 3,4,5,Abdul Hakim Sani Brown,Japan,9.96,PB
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 3,5,2,Andre De Grasse,Canada,9.98,SB
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 3,6,3,Zharnel Hughes,Great Britain,10.01,
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 3,7,8,Abdul-Rasheed Saminu,Ghana,10.05,
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 3,8,6,Ferdinand Omanyala,Kenya,10.08,
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 3,9,1,Puripol Boonson,Thailand,10.14,
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Final,,7,Noah Lyles,United States,9.79(9.784),PB
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Final,,4,Kishane Thompson,Jamaica,9.79(9.789),
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Final,,3,Fred Kerley,United States,9.81,SB
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Final,4,5,Akani Simbine,South Africa,9.82,NR
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Final,5,9,Marcell Jacobs,Italy,9.85,SB
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Final,6,8,Letsile Tebogo,Botswana,9.86,NR
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Final,7,2,Kenny Bednarek,United States,9.88,
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Final,8,6,Oblique Seville,Jamaica,9.91,
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Women's_100_metres,Heat 1,1,4,Natacha Ngoye,Republic of the Congo,11.34,Q
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Women's_100_metres,Heat 1,2,5,Alessandra Gasparelli,San Marino,11.62,Q
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Women's_100_metres,Heat 1,3,8,Xenia Hiebert,Paraguay,11.77,Q
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Women's_100_metres,Heat 1,4,3,Valentina Meredova,Turkmenistan,12.01,"q,SB"
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Women's_100_metres,Heat 1,5,9,Samira Awali Boubacar,Niger,12.06,PB
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Women's_100_metres,Heat 1,6,2,Silina Pha Aphay,Laos,12.45,SB
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Women's_100_metres,Heat 1,7,6,Sydney Francisco,Palau,13.15,
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Women's_100_metres,Heat 1,8,7,Salam Bouha Ahamdy,Mauritania,13.71,PB
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Women's_100_metres,Heat 1,,1,Lucia Morris,South Sudan,DNF,
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Women's_100_metres,Heat 2,1,7,Trần Thị Nhi Yến,Vietnam,11.81,Q
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Women's_100_metres,Heat 2,2,6,Halle Hazzard,Grenada,11.88,Q
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Women's_100_metres,Heat 2,3,4,Zhang Bo-ya,Chinese Taipei,11.99,Q
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Women's_100_metres,Heat 2,4,5,Regine Tugade-Watson,Guam,12.02,q
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Women's_100_metres,Heat 2,5,2,Lika Kharchilava,Georgia,12.37,
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Women's_100_metres,Heat 2,6,9,Faiqa Riaz,Pakistan,12.49,PB
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Women's_100_metres,Heat 2,7,8,Mazoon Al-Alawi,Oman,12.58,SB
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Women's_100_metres,Heat 2,8,3,Filomenaleonisa Iakopo,American Samoa,12.78,NR
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Women's_100_metres,Heat 2,9,1,Mariam Kareem,United Arab Emirates,13.26,PB
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Women's_100_metres,Heat 3,1,9,Gorete Semedo,São Tomé and Príncipe,11.44,Q
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Women's_100_metres,Heat 3,2,6,Guadalupe Torrez,Bolivia,11.60,Q
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Women's_100_metres,Heat 3,3,2,Leonie Beu,Papua New Guinea,11.63,"Q,PB"
